ACTA2-AS1
FAM13A
BCL2
PTH1R
CLEC4E
IL10
CD97
MMP8
PDGFRA
MMP11
RTN4
MMP7
IL17F
LILRB3
GPX3
NR1I2
TLR4
TNFRSF1A
JUNB
ELN
CTSD
CRHR2
IFNA1
ITGA3
ADIPOQ
IL16
IFNG
ACKR3
ITGAE
HLA-DQB1
IL2RA
FLNB
ADRA1A
ISG20
XRCC6
BPI
GAA
BECN1
DVL3
IL9
IRX1
ENG
NFE2L2
PI3
IRX5
SLC9A3
IFNB1
CD44
PTPN1
PTGS2
TNFAIP6
NFKB1
IL15
TLR5
PLB1
SERPINE1
SARS
LDHC
GSTM1
IFNGR2
BPIFB1
SCGB1A1
ACKR1
SLPI
DDIT3
CTSK
GREM1
IL2
CXCR1
ADA
CSF2
LPAR2
PRKCD
ACE2
SLC12A9
HLA-B
SOD2
SERPINA1
MOK
STAT5B
IFNGR1
TNF
SLC9A3R1
FLNA
IL18
CYP1A1
CX3CL1
TWIST1
EHD2
PTHLH
CTSS
GPRC5A
ADRA2B
WBSCR22
PDGFA
STAT3
ARCN1
LCK
COX2
BMP4
SCNN1G
MT1E
SIRT1
TFF2
CLEC4D
EDNRB
MCAM
HPGDS
MBL2
COX1
CYP2C9
CYSLTR2
YWHAZ
PRX
MMP1
JUN
C3AR1
TLR2
DEFB104A
STRA6
SLC26A9
PCSK5
MARS
HIF1A
PPT2
IL5
VEGFC
DHPS
MAPK8
UNC119
HHIP
IFRD1
ACE
CDKN2A
ADORA2A
CDK9
ADRB2
MIF
KLF2
TFF1
FN1
GSTO1
DEFB104B
HFE
RETNLB
C5AR1
IRX2
FOS
PDE4A
CRP
CD59
TDGF1P6
SPRY2
APEX1
CCNO
SSTR4
GCLC
IL12RB1
DNASE1
UCN3
USO1
TGFA
F2RL1
HLA-DRB1
ADORA1
TERT
MARK2
SCNN1A
EZR
CDKN1A
GLRX
TSC2
AP3B1
TRPC6
TRIM21
KCNQ1
SLC11A1
MUC5B
CD14
TLR3
IGF2R
CEACAM6
COPA
MPO
BIRC3
CXCR4
IFNA13
NOS2
CCR3
FEV
NPSR1
SLC52A2
SPRR2A
SLC6A14
INTS4
IL13
SFTPA2
ANXA1
ABCG1
INSR
AFF4
FOXA2
NXF1
RASSF1
ZFYVE9
FOXF1
SHH
GADD45G
TSC1
FOXA3
WNT3
SEMA3B
PTCH1
AHR
IL32
A2M
RTN1
CAT
PTGS1
ABCA3
BPIFA1
SFTPC
SERPINB1
DECR1
VDR
GPR126
IL1B
CFTR
BST1
DEFB1
HGF
MMP9
LCN2
COPD
LTA
CXCL5
PLA2G6
CXCR3
HMOX1
SPP1
JUND
PLA2G2A
CTSH
SHOX2
PRDX6
PID1
ADAM19
CHI3L1
NFKBIA
IL1RL1
CTNND2
SERPINA13P
MMP2
CXCL8
ABCA4
CYP27B1
PTEN
BRS3
SFTPD
BDKRB2
GSTCD
SARS2
TGFB1
SEC14L2
KEAP1
IRF1
STIM1
SFTPB
SCNN1B
METAP2
GABPA
FCN1
IL6
IRX3
THAS
IGF1R
CYP1B1
FOSB
MBD2
PTK2
SPECC1
CCL5
ACD
CXCR2
TLR9
GLA
ERBB4
NPNT
TP53
SERPINA3
FUT3
LINC00914
PTX3
CHIT1
TNFRSF1B
GATA2
PLG
WNT5A
CTNNA3
OBFC1
DPP9
CSMD1
SEMA7A
ITM2B
AARS2
HLA-DRB4
FCER2
PRH2
HPS4
CEL
RBM45
S100A9
FASN
NOD2
SLC2A10
IL1R1
CSF2RA
IL17A
PPIG
HSP90AA1
DDX46
LRRC34
MUC2
IRF5
HARS2
IFIH1
IL4R
MUC1
PARP9
HPS1
DHX16
SNRNP70
ATP11A
MAPT
DUSP23
ERVK-22
HSPA4
LOC100128334
IGF1
CALR
NTF3
COL4A5
VTN
ERVK-12
MSN
SLC27A5
BLK
TRB
CCL21
DDX19A
HLA-DRB5
MST1
FAS
TRBV20-1
CYP2B6
DSP
TRBV3-1
ERVK-2
AARS
DEPTOR
CCS
ADM
EXOSC10
TNFAIP3
FBN1
BDNF
ALOX5
CANX
HARS
IVD
IL12A
TRBV28
ERVK-11
STAT4
PRH1
CD226
PROSP
EHD4
LTC4S
GLP1R
CX3CR1
GCG
WDHD1
CCR7
TYROBP
ITGAM
CCL11
MMP14
CCL4
PDGFD
GSR
ELF3
FGF7
PLAU
NGF
CCL3
ESR2
CYP1A2
NTRK1
MME
IGF2
TNC
TNFRSF12A
IKBKB
TNFSF12
TBC1D9
ERCC5
SOD1
WLS
MIR526B
ROBO1
DNMT3B
MTHFD1
PIM1
FLT1
PPARA
CASC1
HMGA1
SERPINB5
ARL11
ARHGEF11
DYNLL1
NTS
ERCC4
HPRT1
DOK3
TGFB3
ABCC1
EMX2
PDGFB
SUV39H2
MTMR3
ALDH2
HTRA1
XRCC3
ADAM12
FLT4
HPGD
USP14
AKR1C1
SMARCC1
GPC3
FGFR1OP
PSMA4
MSH6
SLC28A1
PORCN
PTPN3
FRA6E
UBE2N
ID2
SLTM
RAMP2
PAWR
MIR660
PRDX1
COL18A1
PBX1
TUBB
CEBPB
YWHAG
PIK3CD
SLC52A1
UBQLN1
CCKBR
TGFBI
CCNB2
DLEC1
MIR944
HSD17B6
LEP
PRKCZ
IKBKG
B4GALNT2
CCL4L1
XPC
CCR6
MIR34B
E2F3
MUC16
MAGED4B
EPCAM
CHFR
NRAS
MTDH
PIK3CB
LOC102724560
DMTF1
CPB2
GADD45A
HRAS
ATOX1
BTG3
CDK7
HES1
LNCR1
IGF2BP1
SLCO1B3
FMR1
CASP9
LGALS3BP
RCAN1
CDCP1
MSH2
DNASE1L3
CCND2
POLL
APOA1
CTSL
YWHAQ
CD40
ILK
PPP1R9B
RASSF2
MAP3K1
TPX2
CCL4L2
DAPK1
P2RY6
DPPA2
MKI67
MOB1A
RARA
EIF4G2
SUB1
MIRLET7B
CEBPA
SDC1
ENO2
TBX1
AKT1
FOXA1
SFN
SMARCA4
CAD
JAG1
PPAPDC1B
IST1
PAX5
GRPR
DAB2IP
ATP2A3
PTPRJ
ZNF311
CYP2D7
DNMT3A
CCRN4L
RBBP6
ADAM9
CACNA2D2
EYA4
NOTCH3
CASP5
ABCB1
SELENBP1
CD83
RAB40B
PLAGL2
PTMA
AXIN1
ERBB3
MTG1
PTGER2
ITGB1
BNIP3
SOCS3
ATM
LIMD1
ME2
DFFB
FANCL
MNAT1
TXN
HSPA5
ID3
LYPD3
CAPN5
B4GALT1
GKN2
C1D
ROCK1
NEDD9
HYKK
CYP2D6
LONP1
ROS1
GHSR
ING2
EIF3E
MTRR
SMAD5
SMARCA1
TIMP3
VIM
HDAC9
MBD4
MIR126
SIN3A
GAST
GPX4
LATS2
BAD
MYCL
RASSF7
QTRT1
CCK
TOX2
GATA5
TGM5
CES1
MAGED4
CDKN1B
VHL
GPX1
ADCYAP1
MRPL28
TFRC
NDRG1
EHMT2
GC
DUOX2
HTATIP2
CD8A
UGT2B17
NME1
CACNA1A
CD24
VWF
TCF7L2
AMFR
GSTT1
RAD17
LNCR4
CTNND1
SLC38A3
TERF1
MAGEA3
TFDP1
RAC1
RAD51
SOX4
TM7SF2
PPARD
MIR134
IGFBP2
PARK2
FRAXA
CASP2
PKM
DAP
ATP7B
RET
RASGRF2
CYP2F1
ERCC2
BCL2L1
UCHL1
CLDN18
ACSM1
APOE
CHRNB4
GGT5
LOX
DPYD
CHGA
KLK8
AHSA1
SERINC2
CDH1
CASP10
SEMA3A
VDAC1
HP
VCX
ALDH3A1
CLPTM1L
FUT4
XRN2
LTF
TP73
TM4SF5
LIG1
KCNJ9
TMPO
AVP
FGFR2
BRCA2
FASLG
IGBP1
PRKCI
RAF1
POR
FKBPL
EPHA2
ARHGAP5
SLC5A8
PXN
NES
MOB4
PTGER1
GTF2H1
CALD1
EPHA3
TDG
CYR61
LDHA
ST8SIA1
NAT2
RASSF8
TP53AIP1
VRK1
AURKB
TYMS
SEPP1
RHOA
SLC29A1
ADAMTS1
GSS
ABCC3
ITGB4
TMSB15A
GPC5
FBLN5
TXNRD1
IRAK3
HPSE
RBM15
EPB41L3
WT1
GSTA4
EIF5A
RPS29
PLAC1
DLX4
GHS
RUNX2
XPA
CASP3
OLIG1
HEY1
BAK1
GDF15
MIR206
SEZ6L
DNMT1
SERINC1
POU3F2
FADD
AKR1B10
PIEZO1
C20orf85
IGFBP3
PDCD4
MAGEA4
GSTA1
KCNJ3
SAMSN1
TUSC2
ZMYND10
OCA2
CXCL14
CHEK1
ANKRD18A
FGA
AHRR
MFSD2A
NOS1
CXCL16
POLE
DNAH8
AZGP1
RXRB
MST1R
MARCKS
AMPH
PCBP4
BRI3
SH3GLB1
EPHX1
ERCC1
BMI1
KCNJ5
SNRPE
USP25
PSG2
CYP19A1
ALDH1L1
EIF2AK2
MAP3K8
UBE2T
ERCC3
ANPEP
EPHA8
RBMS3
DICER1
FHIT
TYRO3
NTSR1
TP63
GJB2
MDM2
PCNT
PRRC2C
PPP2R1B
ERCC6
REG1A
GHRL
HDGF
PYCARD
PRRC2A
HMGA2
CDKN1C
NANOS3
SHMT1
HNRNPA2B1
APOC3
SERPINE2
MAP2K1
CT47A11
OGG1
HOPX
NFATC2
RBL1
CEACAM7
CDK4
RIPK3
LRMP
GSTK1
ERAS
CEACAM5
PR@
WHSC1L1
EML4
SMOX
EZH2
BCL2L11
GRB7
CHRNB3
COL6A1
PBRM1
SNCG
MTOR
MMP10
TTF1
LETM1
CTDSPL
GRAP2
CADM1
FUS
CXADR
SCGB3A1
DSG3
ARSF
BLM
KLF5
DVL2
IGFBP7
POLM
CALCA
DOK2
NXT1
CYGB
S100A11
SELP
UBA7
TFPI2
CHEK2
TGFBR1
CCNH
IDH2
TNFRSF10B
MBD1
EIF5
PRKCDBP
RBM5
TSHR
ASCL1
LPL
SETD8
CHRNA7
KRT8
VCL
ADAM8
REEP5
IL1RAP
15-Sep
RECK
CYP4B1
GADL1
SLC7A5
SST
NTN1
ELAVL4
ERRFI1
F2RL3
ITGB3
MECP2
GABRA3
CAV1
ABL1
CTCFL
CPT1C
MAPK7
MET
CXCL12
PPIA
PTGES
DOK1
STK11
PEA15
PCNA
ITGA9
NPM1
MIR31
GTF2IRD1
PTN
TUBB3
IL7
SGMS1
IL24
NHP2
PRKCA
PTGIS
APOBEC2
PRDM2
FTO
MCC
LAT
WFS1
GATA4
FGFR4
MKL1
THBS1
RARB
CTAG1B
CDC42
BHLHE41
ESPL1
E2F1
DLC1
ESR1
EEF2
DDX3X
SELE
MAP2K2
MIR3662
TNFSF10
LINC01194
NRP1
RGS17
CTCF
HK1
ACHE
ARRB1
ARG2
MAP2K3
TBXAS1
DLX5
ZBTB7A
CRK
IDH1
SMO
LDHB
SCGB2A2
DUSP1
LMO2
UGT1A1
ETV4
HLA-G
GATA6
HSPB1
MIR221
CCNE1
TNS4
S100A2
PKLR
PTGER4
BHMT
RASSF5
KIAA1524
USF1
PGF
GHR
PSEN2
ATF2
XAGE1B
PMEPA1
ADH5
SRSF1
JAK1
SLC25A3
UCMA
RPS3A
CREB1
CEACAM1
KLK13
C4BPA
EREG
SOX2
MIR27B
HNF4A
BIRC7
CFI
SFRP1
COX17
MEN1
IL6ST
EPHB2
ACTA2
MPL
CDC5L
MMP19
BID
FGF9
ING1
MTR
WIF1
BAX
PBK
PRKCE
RPSA
IFNA2
CTSB
MAL
LOC102724023
EWSR1
EXO1
ATF3
RALBP1
ITGA5
DKK3
BIRC5
CA9
MIR486-1
IDO1
PARP1
RNMT
ALK
AGTR2
PAM
MGAT5
ISG15
RHOB
MGMT
DESI2
EFEMP1
PIAS3
TNFRSF19
IFNA17
PROM1
MAP2K7
RELA
P2RY2
ABCC4
F3
SEL1L
TMPRSS4
SPARCL1
PTGDR
CHMP3
GSTM3
GJB1
LGALS3
CLU
IL10RA
TGFBR2
MXI1
SLC22A18
MICE
ELAVL2
SKP2
MMP3
FEN1
ZNF185
SEMA3F
CTLA4
FZD9
TPT1
SLC2A1
IFN1@
FOXP3
HTRA3
ABCA1
CYP3A4
LRPPRC
PKNOX1
CDCA8
WNT7A
DHFR
ABCG2
CHRNA6
CLUAP1
CASC5
FAM83A
CYP2B7P
STS
LSM4
ALOX15
DOK4
MAP2K4
OXTR
GCLM
BRMS1
HYAL2
TOP1
AR
GLUL
NBN
LOC100128922
RPL14
SMAD3
SLCO6A1
KIF14
STMN1
TEP1
SLC19A1
BIRC2
GSTP1
MMP12
HDAC10
TRIM28
ERBB2
E2F4
CDH13
TIRAP
CD74
POMC
RIPK1
FGF1
PRDX5
EPB41
RB1
TTR
AZIN2
NM
SLC6A2
PDGFC
LRP1
DMP1
APC
NMU
TBX21
FAM57A
PTK2B
CD40LG
MAPK1
PWAR4
GDF10
C21orf33
FGFR1
DAB2
TNFRSF11B
CYP2E1
CYP3A5
DVL1
EPHB4
TK1
NOTCH2
MIR205
STAT5A
HSPBP1
TYRP1
SPEN
NEUROD1
ACTB
TET1
SPARC
RRM1
MYCBP2
ETV5
PLA2G10
ABCC2
RXRA
ABCC10
KIF22
PSMD4
PIK3CG
LARS
PIK3CA
POLDIP2
LNCR3
PLK2
SLC38A6
WISP1
SNORA80E
BTRC
HMGB1
SLC26A2
PON1
PROC
MTHFR
HK2
EPS15
FLT1P1
IRG1
C18orf54
SMAD4
PTP4A3
AURKA
MIR495
TGM1
OPN1LW
CCRL2
CBS
EAF2
SAT1
KCNJ6
TMSB10
GLS
WISP3
CYP2C19
MAD2L1
ANGPT2
MYC
RIPK2
MAPK14
MIR4435-1HG
NKIRAS1
PTPRU
ADH1C
SSTR2
YWHAE
CASP14
OLIG2
NPRL2
EIF4E
STAT6
BAG6
MGST1
ADCYAP1R1
KITLG
NOTCH1
DDX53
TF
HADHA
XRCC1
MARCKSL1
GJA1
BRAF
MCL1
THPO
CEACAM3
JAK2
KLF6
ANG
TOB1
CD68
FOXM1
MYO9B
CDX2
ANP32A
NAT1
BAG3
AXIN2
NR0B2
CASP8
NT5C2
AIMP2
CEBPG
SMARCA2
STYK1
CUX1
CTNNB1
SAGE1
PPP2R4
PDCD6
BRMS1L
NR4A1
NPPA
F11R
CXCR5
AKR1C3
MAGEA1
XIAP
ABI3BP
RBMX
GGCT
NFYA
MIR17HG
DNAJB4
NRP2
CSF1
NEWENTRY
SET
ACLY
GCNT2
SMAD1
THRB
CDKN2B
CTNNA1
OBP2A
CUL4A
HYAL1
SOX30
DUOX1
CBX2
NCAM1
CCL22
LMNTD1
KRT19
RAD18
PLEKHG2
FRMD3
RPS6KB1
TFAP2B
ITGA2
PAG1
GALNT3
CREBBP
HES5
PLAUR
MLH1
MIR222
CCND1
SRSF2
ANGPT1
CCNG1
CYP24A1
MYO18B
PLK3
PTPRO
MPP1
FOSL1
BUB1
RUNX3
PTPN13
VAV1
RBL2
CADM4
SMAD2
GSTM4
MAX
LEPQTL1
LGALSL
SULT1A1
AIFM1
TWSG1
RNF19A
ANXA2
DPYSL5
HLA-E
